state,county,tract,block,age,sex_id,relationship,hispanic,racaian,racasn,racblk,racnhpi,racsor,racwht,pweight,geoid
53,033,004301,3011,22,1,2,0,0,0,1,0,0,1,1,530330043013011
53,033,004301,3011,52,1,1,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,71,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,38,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,37,2,1,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,20,2,12,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,20,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,60,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,22,1,12,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,23,1,12,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,23,1,12,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,23,1,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,24,1,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,20,1,16,1,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,20,1,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,27,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,25,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,1,1,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,4,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,3,2,7,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,4,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,18,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,18,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,42,1,16,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,40,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,58,2,1,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,65,1,1,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,66,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,32,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,30,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,61,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,60,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,60,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,61,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,60,2,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,24,2,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,25,2,3,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,64,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,51,2,1,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,21,1,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,21,1,2,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,33,1,9,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,6,2,2,1,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,48,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,48,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,39,1,1,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,37,1,0,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,37,1,13,0,0,0,0,0,0,1,1,530330043013011
53,033,004301,3011,31,2,13,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,32,2,1,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,0,2,2,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,35,1,1,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,26,1,0,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,29,1,0,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,2,1,2,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,8,1,2,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,6,1,2,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,38,2,5,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,35,2,15,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,55,1,0,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,42,1,0,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,43,1,0,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,65,1,0,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,23,2,15,0,0,1,0,0,0,0,1,530330043013011
53,033,004301,3011,65,2,2,0,0,1,0,0,0,0,1,530330043013011
